art_id,art_name,art_name_uri,art_name_first,art_name_nick,art_name_last,art_name_group,art_year_birth,art_place_birth,art_year_death,art_place_death,art_place_living_working,art_nationality,art_area,art_bio,art_image,art_url
276,Helga Petrau Heinzel,https://www.wikidata.org/entity/Q99506262,Helga,,Petrau-Heinzel,,,,,,,,Europe,,,
277,Helmut Mark,,Helmut,,Mark,,,,,,,,Europe,,,
278,Helwig Brunner,https://www.wikidata.org/entity/Q1490554,Helwig,,Brunner,,,,,,,,Europe,,,
279,Heribert Hirschmann,https://www.wikidata.org/entity/Q99501038,Heribert,,Hirschmann,,1955,Frauenfeld (CH),2016,,Graz,,Europe,,,
280,Hong Hyun-Chul,,Hong,,Hyun-Chul,,,,,,,South Korea,Asia,,,
281,Hong Kyoung-A,,Hong,,Kyoung-A,,,,,,,South Korea,Asia,,,
282,Hong Seon-Kee,,Hong,,Seon-Kee,,,,,,,South Korea,Asia,,,
283,Hubert Höllmüller,https://www.wikidata.org/entity/Q95245844,Hubert,,Höllmüller,,,,,,,,Europe,,,
284,Hugo Córdoba,,Hugo,,Córdoba,,,,,,,Colombia,America (South),,,
285,Hugo Sebastián Ochoa Guerrero,https://www.wikidata.org/entity/Q125985842,Hugo,,Ochoa,,,,,,,,Europe,,,
286,Hunger auf Kunst und Kultur,,,,,Hunger auf Kunst und Kultur,,,,,Graz,Austria,Europe,,,
287,IG-Kultur Steiermark,,,,,IG-Kultur Steiermark,,,,,,,,,,
288,Ignacio Deserega,,Ignacio,,Deserega,,,,,,,,,,,
289,Ilona Nemeth,,Ilona,,Nemeth,,,,,,,,,,,
290,Infoladen Graz,,,,,Infoladen Graz,,,,,,,Europe,,,
291,Inge Freidl,,Inge,,Freidl,,,,,,,,Europe,,,
292,Ingo Abeska,,Ingo,,Abeska,,1953,Graz,,,Graz,Austria,Europe,,,
293,Ira Mihalevic,,Ira,,Mihalevic,,,,,,,,Europe,,,
294,Irene del Socorro López Meza,,Irene del Socorro,,López Meza,,,,,,,,,,,
295,Irene López Meza,,Irene,,López Meza,,,,,,,,,,,
296,Isabel Leveche,,Isabel,,Leveche,,,,,,,,,,,
297,Isabella Bordoni,https://www.wikidata.org/entity/Q3154843,Isabella,,Bordoni,,,,,,,,,,,
298,Isabella Hollauf,https://www.wikidata.org/entity/Q114706198,Isabella,,Hollauf,,,,,,,,,,,
299,Iván Avila,,Iván,,Avila,,,,,,,,,,,
300,Ivan Trenev,,Ivan,,Trenev,,,,,,,,,,,
301,Ivana Stefanović,https://www.wikidata.org/entity/Q2991175,Ivana,,Stefanovic,,,,,,,,,,,
302,Jacek Ćwikła,https://www.wikidata.org/entity/Q111430722,Jacek,,Ćwikła,,,,,,,Poland,Europe,,,
303,Jerzy Czerniawski,,Jerzy,,Czerniawski,,,,,,,Poland,Europe,,,
