id,label,art_year_birth,art_year_death,art_nationality,art_area
A_146,Roland derHunt/Ratti Rathmair,,,Austria,Europe
A_147,"DI Martin Regelsberger, Kulturtechnik u. Wasserwirtschaft",,,Austria,Europe
A_148,Diana Levin,1977,,,Europe
A_149,"Die Jugendlichen (J., A., K., O., M., I., und einige mehr)",,,,
A_150,Die Sixtinische Kapelle _ Confuse the nuns,,,,
A_151,Dieter Glawischnig,1938,,Austria,Europe
A_152,Dietmar Hollenstein,1957,,Austria,Europe
A_153,Dietmar Offenhuber,1973,,Austria,Europe
A_154,Dimitry Nikolaev,1960,,Russia,Europe
A_155,Dinah Geiger,1963,,"Germany, Switzerland",Europe
A_156,Donatella Ruttar,,,,
A_157,Doris Prlić,1984,,Austria,Europe
A_158,Dorothee Steinbauer,1958,,,Europe
A_159,Dr. Alfio Borzi,1965,,,Europe
A_160,Dr. Robert Pfaller,1962,,Austria,Europe
A_161,Dr. Rudolf Muhr,1950,,Austria,Europe
A_162,Dulce Gómez,,,,
A_163,Duo MIMESYS,,,,
A_164,Durgarski Pozdrav,,,,
A_165,Dževad Hozo (†),1938,2020,Serbia,Europe
A_166,Edward Dwurnik (†),1943,2018,Poland,Europe
A_167,Eugeniusz Get-Stankiewicz (†),1942,2011,Poland,Europe
A_168,e.d gfrerer,1958,,Austria,Europe
A_169,EAT Escuela Experimental de Arte (HN/COL),,,,America (Central)
A_170,Edda Strobl,1962,,Austria,Europe
A_171,Edgar Honetschläger,1967,,Austria,Europe
A_172,Edgar Sorgo,1963,,Austria,Europe
A_173,Edgardo Antonio Vigo (†),1928,1997,,
A_174,Edith Arbeláez,,,Colombia,America (South)
A_175,Eduardo Vélez,,,,
A_176,Ekaterina Rischykova,,,,Europe
A_177,"ekw 14,90",,,,Europe
A_178,Elektro Guzzi,,,,Europe
A_179,Elías Jiménez,,,,
A_180,Elisabeth Auer,,,,Europe
A_181,Elisabeth Harnik,,,,Europe
A_182,Elisabeth Schimana,,,,Europe
A_183,Emil Krištof,,,,Europe
A_184,Emmi Rendl-Denk,,,,Europe
A_185,Erin Stewart,,,,
A_186,Ernesto Rico-Schmidt,,,,
A_187,Ernesto Salmerón,,,,
A_188,Erwin Bohatsch,,,,Europe
A_189,Erwin Michenthaler,,,,Europe
A_190,Erwin Stache,,,,Europe
A_191,Esad Babačić,,,,Europe
A_192,Eva Brede,,,,Europe
